DriverNumber,BroadcastName,Abbreviation,TeamName,GridPosition,Position,Points,Status,Q1,Q2,Q3,Season,Round,EventName,DidFinish,Podium,Win,RecentAvgFinish,RecentAvgGrid,RecentAvgPoints,RecentDNFRate,TeamRecentAvgPoints,TrackHistoryAvgFinish
5,G BORTOLETO,BOR,Kick Sauber,16.0,18.0,0.0,Lapped,,,,2025,19,United States Grand Prix,1,0,0,11.4,10.8,2.4,0.0,1.2,
43,F COLAPINTO,COL,Alpine,15.0,17.0,0.0,Lapped,,,,2025,19,United States Grand Prix,1,0,0,16.2,15.8,0.0,0.0,0.0,
10,P GASLY,GAS,Alpine,14.0,19.0,0.0,Lapped,,,,2025,19,United States Grand Prix,1,0,0,17.8,17.4,0.0,0.0,0.0,
6,I HADJAR,HAD,Racing Bulls,20.0,16.0,0.0,Finished,,,,2025,19,United States Grand Prix,1,0,0,9.0,9.8,3.4,0.0,3.1,
44,L HAMILTON,HAM,Ferrari,5.0,4.0,12.0,Finished,,,,2025,19,United States Grand Prix,1,0,0,10.8,9.4,3.2,0.2,5.0,
27,N HULKENBERG,HUL,Kick Sauber,11.0,8.0,4.0,Finished,,,,2025,19,United States Grand Prix,1,0,0,16.6,15.0,0.0,0.2,0.4,
30,L LAWSON,LAW,Racing Bulls,12.0,11.0,0.0,Finished,,,,2025,19,United States Grand Prix,1,0,0,10.8,10.0,2.8,0.0,3.1,
16,C LECLERC,LEC,Ferrari,3.0,3.0,15.0,Finished,,,,2025,19,United States Grand Prix,1,1,0,8.4,5.6,6.8,0.2,6.2,
4,L NORRIS,NOR,McLaren,2.0,2.0,18.0,Finished,,,,2025,19,United States Grand Prix,1,1,0,6.2,3.8,12.8,0.2,13.4,
31,E OCON,OCO,Haas F1 Team,17.0,15.0,0.0,Finished,,,,2025,19,United States Grand Prix,1,0,0,14.6,17.4,0.2,0.0,1.3,
81,O PIASTRI,PIA,McLaren,6.0,5.0,10.0,Finished,,,,2025,19,United States Grand Prix,1,0,0,6.0,3.6,14.0,0.2,12.7,
63,G RUSSELL,RUS,Mercedes,4.0,6.0,8.0,Finished,,,,2025,19,United States Grand Prix,1,0,0,3.0,4.0,16.0,0.0,10.4,
55,C SAINZ,SAI,Williams,9.0,20.0,0.0,Retired,,,,2025,19,United States Grand Prix,0,0,0,10.2,11.0,3.2,0.0,3.2,
18,L STROLL,STR,Aston Martin,19.0,12.0,0.0,Finished,,,,2025,19,United States Grand Prix,1,0,0,12.4,14.0,2.4,0.0,2.3,
22,Y TSUNODA,TSU,Red Bull Racing,13.0,7.0,6.0,Finished,,,,2025,19,United States Grand Prix,1,0,0,11.4,12.0,2.0,0.0,9.8,
1,M VERSTAPPEN,VER,Red Bull Racing,1.0,1.0,25.0,Finished,,,,2025,19,United States Grand Prix,1,1,1,3.0,3.0,17.6,0.0,10.4,
23,A ALBON,ALB,Williams,17.0,12.0,0.0,Lapped,,,,2025,20,Mexico City Grand Prix,1,0,0,10.6,17.2,3.2,0.0,3.2,
14,F ALONSO,ALO,Aston Martin,14.0,18.0,0.0,Retired,,,,2025,20,Mexico City Grand Prix,0,0,0,11.8,9.8,2.2,0.2,1.7,
12,K ANTONELLI,ANT,Mercedes,6.0,6.0,8.0,Finished,,,,2025,20,Mexico City Grand Prix,1,0,0,9.4,6.4,4.8,0.0,9.7,
87,O BEARMAN,BEA,Haas F1 Team,9.0,4.0,12.0,Finished,,,,2025,20,Mexico City Grand Prix,1,0,0,9.6,12.6,2.4,0.0,1.3,
5,G BORTOLETO,BOR,Kick Sauber,16.0,10.0,1.0,Finished,,,,2025,20,Mexico City Grand Prix,1,0,0,13.8,12.6,0.8,0.0,0.8,
43,F COLAPINTO,COL,Alpine,20.0,16.0,0.0,Lapped,,,,2025,20,Mexico City Grand Prix,1,0,0,16.0,16.0,0.0,0.0,0.0,
10,P GASLY,GAS,Alpine,18.0,15.0,0.0,Lapped,,,,2025,20,Mexico City Grand Prix,1,0,0,17.8,17.0,0.0,0.0,0.0,
6,I HADJAR,HAD,Racing Bulls,8.0,13.0,0.0,Lapped,,,,2025,20,Mexico City Grand Prix,1,0,0,10.0,11.8,3.4,0.0,2.7,
44,L HAMILTON,HAM,Ferrari,3.0,8.0,4.0,Finished,,,,2025,20,Mexico City Grand Prix,1,0,0,9.2,8.0,5.6,0.2,6.5,
27,N HULKENBERG,HUL,Kick Sauber,13.0,19.0,0.0,Retired,,,,2025,20,Mexico City Grand Prix,0,0,0,15.6,13.6,0.8,0.2,0.9,
30,L LAWSON,LAW,Racing Bulls,15.0,20.0,0.0,Retired,,,,2025,20,Mexico City Grand Prix,0,0,0,11.4,10.6,2.0,0.0,1.2,
16,C LECLERC,LEC,Ferrari,2.0,2.0,18.0,Finished,,,,2025,20,Mexico City Grand Prix,1,1,0,8.2,6.0,7.4,0.2,6.9,
4,L NORRIS,NOR,McLaren,1.0,1.0,25.0,Finished,,,,2025,20,Mexico City Grand Prix,1,1,1,6.4,3.6,11.4,0.2,11.9,
31,E OCON,OCO,Haas F1 Team,11.0,9.0,2.0,Finished,,,,2025,20,Mexico City Grand Prix,1,0,0,14.4,17.4,0.2,0.0,1.7,
81,O PIASTRI,PIA,McLaren,7.0,5.0,10.0,Finished,,,,2025,20,Mexico City Grand Prix,1,0,0,6.6,4.4,12.4,0.2,14.4,
63,G RUSSELL,RUS,Mercedes,4.0,7.0,6.0,Finished,,,,2025,20,Mexico City Grand Prix,1,0,0,3.6,4.0,14.6,0.0,10.5,
55,C SAINZ,SAI,Williams,12.0,17.0,0.0,Retired,,,,2025,20,Mexico City Grand Prix,0,0,0,11.4,10.2,3.2,0.2,2.2,
18,L STROLL,STR,Aston Martin,19.0,14.0,0.0,Lapped,,,,2025,20,Mexico City Grand Prix,1,0,0,13.4,16.6,1.2,0.0,1.3,
22,Y TSUNODA,TSU,Red Bull Racing,10.0,11.0,0.0,Finished,,,,2025,20,Mexico City Grand Prix,1,0,0,9.4,10.6,3.2,0.0,12.7,
1,M VERSTAPPEN,VER,Red Bull Racing,5.0,3.0,15.0,Finished,,,,2025,20,Mexico City Grand Prix,1,1,0,1.4,1.6,22.2,0.0,12.5,
23,A ALBON,ALB,Williams,12.0,11.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,12.0,17.6,1.2,0.0,2.2,
14,F ALONSO,ALO,Aston Martin,11.0,14.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,13.8,10.6,1.4,0.4,0.7,
12,K ANTONELLI,ANT,Mercedes,2.0,2.0,18.0,Finished,,,,2025,21,São Paulo Grand Prix,1,1,0,7.4,5.4,6.4,0.0,9.9,
87,O BEARMAN,BEA,Haas F1 Team,8.0,6.0,8.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,9.2,10.4,3.2,0.0,1.8,
5,G BORTOLETO,BOR,Kick Sauber,18.0,20.0,0.0,Retired,,,,2025,21,São Paulo Grand Prix,0,0,0,12.8,13.2,1.0,0.0,0.9,
43,F COLAPINTO,COL,Alpine,16.0,15.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,17.0,16.8,0.0,0.0,0.0,
10,P GASLY,GAS,Alpine,9.0,10.0,1.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,17.4,17.8,0.0,0.0,0.0,
6,I HADJAR,HAD,Racing Bulls,5.0,8.0,4.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,12.0,12.6,0.4,0.0,1.2,
44,L HAMILTON,HAM,Ferrari,13.0,18.0,0.0,Retired,,,,2025,21,São Paulo Grand Prix,0,0,0,6.8,7.2,6.4,0.0,8.7,
27,N HULKENBERG,HUL,Kick Sauber,10.0,9.0,2.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,16.6,12.8,0.8,0.4,0.5,
30,L LAWSON,LAW,Racing Bulls,7.0,7.0,6.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,13.0,12.0,2.0,0.2,1.5,
16,C LECLERC,LEC,Ferrari,3.0,19.0,0.0,Retired,,,,2025,21,São Paulo Grand Prix,0,0,0,4.8,5.2,11.0,0.0,7.9,
4,L NORRIS,NOR,McLaren,1.0,1.0,25.0,Finished,,,,2025,21,São Paulo Grand Prix,1,1,1,3.0,3.4,16.4,0.0,12.9,
31,E OCON,OCO,Haas F1 Team,20.0,12.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,14.2,16.0,0.4,0.0,2.6,
81,O PIASTRI,PIA,McLaren,4.0,5.0,10.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,7.4,5.6,9.4,0.2,13.6,
63,G RUSSELL,RUS,Mercedes,6.0,4.0,12.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,4.2,3.8,13.4,0.0,11.5,
55,C SAINZ,SAI,Williams,15.0,13.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,12.2,10.8,3.2,0.4,1.6,
18,L STROLL,STR,Aston Martin,14.0,16.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,14.8,16.6,0.0,0.0,0.7,
22,Y TSUNODA,TSU,Red Bull Racing,17.0,17.0,0.0,Finished,,,,2025,21,São Paulo Grand Prix,1,0,0,9.8,10.2,2.8,0.0,12.2,
1,M VERSTAPPEN,VER,Red Bull Racing,19.0,3.0,15.0,Finished,,,,2025,21,São Paulo Grand Prix,1,1,0,1.6,2.0,21.6,0.0,12.2,
23,A ALBON,ALB,Williams,16.0,16.0,0.0,Retired,,,,2025,22,Las Vegas Grand Prix,0,0,0,12.8,17.2,0.0,0.0,1.6,
14,F ALONSO,ALO,Aston Martin,7.0,11.0,0.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,0,0,12.8,11.2,1.4,0.2,0.7,
12,K ANTONELLI,ANT,Mercedes,17.0,3.0,15.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,1,0,6.0,4.6,9.6,0.0,11.7,
87,O BEARMAN,BEA,Haas F1 Team,14.0,10.0,1.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,0,0,8.0,9.8,4.8,0.0,2.6,
5,G BORTOLETO,BOR,Kick Sauber,18.0,17.0,0.0,Retired,,,,2025,22,Las Vegas Grand Prix,0,0,0,15.2,15.4,0.2,0.2,0.7,
43,F COLAPINTO,COL,Alpine,15.0,15.0,0.0,Lapped,,,,2025,22,Las Vegas Grand Prix,1,0,0,16.6,16.6,0.0,0.0,0.1,
10,P GASLY,GAS,Alpine,10.0,13.0,0.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,0,0,16.2,15.6,0.2,0.0,0.1,
6,I HADJAR,HAD,Racing Bulls,8.0,6.0,8.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,0,0,11.6,9.8,1.0,0.0,2.1,
44,L HAMILTON,HAM,Ferrari,19.0,8.0,4.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,0,0,9.2,7.8,4.8,0.2,6.7,
27,N HULKENBERG,HUL,Kick Sauber,11.0,7.0,6.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,0,0,14.4,12.4,1.2,0.2,0.7,
30,L LAWSON,LAW,Racing Bulls,6.0,14.0,0.0,Lapped,,,,2025,22,Las Vegas Grand Prix,1,0,0,11.6,9.8,3.2,0.2,2.8,
16,C LECLERC,LEC,Ferrari,9.0,4.0,12.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,0,0,7.8,5.0,8.6,0.2,6.7,
4,L NORRIS,NOR,McLaren,1.0,19.0,0.0,Disqualified,,,,2025,22,Las Vegas Grand Prix,0,0,0,2.8,3.2,17.8,0.0,13.1,
31,E OCON,OCO,Haas F1 Team,13.0,9.0,2.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,0,0,13.6,17.0,0.4,0.0,2.7,
81,O PIASTRI,PIA,McLaren,5.0,20.0,0.0,Disqualified,,,,2025,22,Las Vegas Grand Prix,0,0,0,7.8,5.8,8.4,0.2,12.5,
63,G RUSSELL,RUS,Mercedes,4.0,2.0,18.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,1,0,4.0,4.0,13.8,0.0,12.0,
55,C SAINZ,SAI,Williams,3.0,5.0,10.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,0,0,12.6,11.2,3.2,0.4,1.6,
18,L STROLL,STR,Aston Martin,12.0,18.0,0.0,Retired,,,,2025,22,Las Vegas Grand Prix,0,0,0,14.4,16.2,0.0,0.0,0.7,
22,Y TSUNODA,TSU,Red Bull Racing,20.0,12.0,0.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,0,0,10.6,11.8,2.8,0.0,11.2,
1,M VERSTAPPEN,VER,Red Bull Racing,2.0,1.0,25.0,Finished,,,,2025,22,Las Vegas Grand Prix,1,1,1,2.0,5.6,19.6,0.0,10.4,
23,A ALBON,ALB,Williams,14.0,11.0,0.0,Finished,,,,2025,23,Qatar Grand Prix,1,0,0,13.4,16.6,0.0,0.2,1.1,
14,F ALONSO,ALO,Aston Martin,8.0,7.0,6.0,Finished,,,,2025,23,Qatar Grand Prix,1,0,0,12.0,10.4,1.4,0.2,0.7,
12,K ANTONELLI,ANT,Mercedes,5.0,5.0,10.0,Finished,,,,2025,23,Qatar Grand Prix,1,0,0,5.8,7.2,10.2,0.0,12.0,
87,O BEARMAN,BEA,Haas F1 Team,13.0,19.0,0.0,Retired,,,,2025,23,Qatar Grand Prix,0,0,0,7.6,9.6,5.0,0.0,2.9,
5,G BORTOLETO,BOR,Kick Sauber,19.0,13.0,0.0,Finished,,,,2025,23,Qatar Grand Prix,1,0,0,16.4,16.4,0.2,0.4,1.3,
43,F COLAPINTO,COL,Alpine,20.0,14.0,0.0,Lapped,,,,2025,23,Qatar Grand Prix,1,0,0,15.8,16.4,0.0,0.0,0.1,
10,P GASLY,GAS,Alpine,9.0,16.0,0.0,Lapped,,,,2025,23,Qatar Grand Prix,1,0,0,15.2,14.0,0.2,0.0,0.1,
